UWI,Date,Oil_Volume_m3,Water_Volume_m3,Gas_Volume_e3m3
100/07-20-010-100W1/00,2025/2/28,30.44,15.64,1.52
100/07-20-010-100W1/00,2025/3/1,29.64,20.03,1.48
100/07-20-010-100W1/00,2025/3/2,29.89,13.92,1.49
100/07-20-010-100W1/00,2025/3/3,30.14,16.15,1.51
100/07-20-010-100W1/00,2025/3/4,29.6,13.97,1.48
100/07-20-010-100W1/00,2025/3/5,31.38,19.09,1.57
100/07-20-010-100W1/00,2025/3/6,30.98,10.1,1.55
100/07-20-010-100W1/00,2025/3/7,30.19,12.3,1.51
100/07-20-010-100W1/00,2025/3/8,29.4,22.75,1.47
100/07-20-010-100W1/00,2025/3/9,31.44,12.15,1.57
100/07-20-010-100W1/00,2025/3/10,29.75,8.19,1.49
100/07-20-010-100W1/00,2025/3/11,31.44,17.67,1.57
100/07-20-010-100W1/00,2025/3/12,32.15,19.82,1.61
100/07-20-010-100W1/00,2025/3/13,31.06,12.23,1.55
100/07-20-010-100W1/00,2025/3/14,30.25,19.07,1.51
100/07-20-010-100W1/00,2025/3/15,0,0,0
100/07-20-010-100W1/00,2025/3/16,31.72,18.8,1.59
100/07-20-010-100W1/00,2025/3/17,29.37,13.04,1.47
100/07-20-010-100W1/00,2025/3/18,29.57,11.94,1.48
100/07-20-010-100W1/00,2025/3/19,30.9,16.82,1.54
100/07-20-010-100W1/00,2025/3/20,30.13,16.21,1.51
100/07-20-010-100W1/00,2025/3/21,31.57,17.71,1.58
100/07-20-010-100W1/00,2025/3/22,29.15,16.02,1.46
100/07-20-010-100W1/00,2025/3/23,0,0,0
100/07-20-010-100W1/00,2025/3/24,30.06,16.54,1.5
100/07-20-010-100W1/00,2025/3/25,30.5,23.15,1.53
100/07-20-010-100W1/00,2025/3/26,31.74,23.29,1.59
100/07-20-010-100W1/00,2025/3/27,29,4.95,1.45
100/07-20-010-100W1/00,2025/3/28,0,0,0
100/07-20-010-100W1/00,2025/3/29,29.7,20.54,1.49
100/07-20-010-100W1/00,2025/3/30,0,0,0
100/07-20-010-100W1/00,2025/3/31,30.78,16.63,1.54
100/07-20-010-100W1/00,2025/4/1,30.87,20.45,1.54
100/07-20-010-100W1/00,2025/4/2,29.16,18.24,1.46
100/07-20-010-100W1/00,2025/4/3,31.58,12.28,1.58
100/07-20-010-100W1/00,2025/4/4,30.91,10.46,1.55
100/07-20-010-100W1/00,2025/4/5,31.12,12.46,1.56
100/07-20-010-100W1/00,2025/4/6,30.78,5.3,1.54
100/07-20-010-100W1/00,2025/4/7,30,20.36,1.5
100/07-20-010-100W1/00,2025/4/8,31.14,11.6,1.56
100/07-20-010-100W1/00,2025/4/9,0,0,0
100/07-20-010-100W1/00,2025/4/10,31.25,23.92,1.56
100/07-20-010-100W1/00,2025/4/11,30.27,12.53,1.51
100/07-20-010-100W1/00,2025/4/12,29.33,16.74,1.47
100/07-20-010-100W1/00,2025/4/13,30.68,20.03,1.53
100/07-20-010-100W1/00,2025/4/14,29.77,4.18,1.49
100/07-20-010-100W1/00,2025/4/15,29.58,21.34,1.48
100/07-20-010-100W1/00,2025/4/16,28.59,5.72,1.43
100/07-20-010-100W1/00,2025/4/17,30.05,5.13,1.5
100/07-20-010-100W1/00,2025/4/18,30.27,4.57,1.51
100/07-20-010-100W1/00,2025/4/19,30.25,4.75,1.51
100/07-20-010-100W1/00,2025/4/20,31.05,11.24,1.55
100/07-20-010-100W1/00,2025/4/21,30.51,23.28,1.53
100/07-20-010-100W1/00,2025/4/22,30.31,11.01,1.52
100/07-20-010-100W1/00,2025/4/23,30.35,14.9,1.52
100/07-20-010-100W1/00,2025/4/24,30.7,5.46,1.53
100/07-20-010-100W1/00,2025/4/25,28.03,12,1.4
100/07-20-010-100W1/00,2025/4/26,28.32,5.16,1.42
100/07-20-010-100W1/00,2025/4/27,30.14,15.32,1.51
100/07-20-010-100W1/00,2025/4/28,29.02,8.71,1.45
100/07-20-010-100W1/00,2025/4/29,28.55,22.1,1.43
100/07-20-010-100W1/00,2025/4/30,0,0,0
100/07-20-010-100W1/00,2025/5/1,29.38,23.36,1.47
100/07-20-010-100W1/00,2025/5/2,29.43,22.91,1.47
100/07-20-010-100W1/00,2025/5/3,29.62,17.39,1.48
100/07-20-010-100W1/00,2025/5/4,29.59,15.06,1.48
100/07-20-010-100W1/00,2025/5/5,27.86,8.27,1.39
100/07-20-010-100W1/00,2025/5/6,30.3,12.69,1.51
100/07-20-010-100W1/00,2025/5/7,28.48,6.6,1.42
100/07-20-010-100W1/00,2025/5/8,28.68,14.58,1.43
100/07-20-010-100W1/00,2025/5/9,30.46,24.07,1.52
100/07-20-010-100W1/00,2025/5/10,29.15,9.23,1.46
100/07-20-010-100W1/00,2025/5/11,29.56,6.32,1.48
100/07-20-010-100W1/00,2025/5/12,29.93,22.89,1.5
100/07-20-010-100W1/00,2025/5/13,29.29,11.51,1.46
100/07-20-010-100W1/00,2025/5/14,29.99,3.95,1.5
100/07-20-010-100W1/00,2025/5/15,0,0,0
100/07-20-010-100W1/00,2025/5/16,27.87,14.38,1.39
100/07-20-010-100W1/00,2025/5/17,30.21,20.83,1.51
100/07-20-010-100W1/00,2025/5/18,28.73,11.22,1.44
100/07-20-010-100W1/00,2025/5/19,27.52,19.41,1.38
100/07-20-010-100W1/00,2025/5/20,30.21,24.09,1.51
100/07-20-010-100W1/00,2025/5/21,29.51,22.47,1.48
100/07-20-010-100W1/00,2025/5/22,27.99,11.63,1.4
100/07-20-010-100W1/00,2025/5/23,29.99,15.72,1.5
100/07-20-010-100W1/00,2025/5/24,29.15,15.53,1.46
100/07-20-010-100W1/00,2025/5/25,27.52,15.69,1.38
100/07-20-010-100W1/00,2025/5/26,29.38,13.64,1.47
100/07-20-010-100W1/00,2025/5/27,28.72,14.15,1.44
100/07-20-010-100W1/00,2025/5/28,28.27,5.48,1.41
100/07-20-010-100W1/00,2025/5/29,0,0,0
100/07-20-010-100W1/00,2025/5/30,27.67,5.41,1.38
100/07-20-010-100W1/00,2025/5/31,0,0,0
100/07-20-010-100W1/00,2025/6/1,28.26,20.71,1.41
100/07-20-010-100W1/00,2025/6/2,28.45,18.45,1.42
100/07-20-010-100W1/00,2025/6/3,28.73,20.22,1.44
100/07-20-010-100W1/00,2025/6/4,27.35,20.48,1.37
100/07-20-010-100W1/00,2025/6/5,27.64,11.65,1.38
100/07-20-010-100W1/00,2025/6/6,28.28,9.34,1.41
100/07-20-010-100W1/00,2025/6/7,27.54,4.22,1.38
100/07-20-010-100W1/00,2025/6/8,27.2,5.61,1.36
100/07-20-010-100W1/00,2025/6/9,28.62,6.5,1.43
100/07-20-010-100W1/00,2025/6/10,29.31,12.66,1.47
100/07-20-010-100W1/00,2025/6/11,27.24,6.39,1.36
100/07-20-010-100W1/00,2025/6/12,27.21,8.03,1.36
100/07-20-010-100W1/00,2025/6/13,26.95,4.97,1.35
100/07-20-010-100W1/00,2025/6/14,27.26,9.68,1.36
100/07-20-010-100W1/00,2025/6/15,28.59,3.65,1.43
100/07-20-010-100W1/00,2025/6/16,28.39,4.46,1.42
100/07-20-010-100W1/00,2025/6/17,29.18,4.17,1.46
100/07-20-010-100W1/00,2025/6/18,28.83,17.98,1.44
100/07-20-010-100W1/00,2025/6/19,27.14,9.75,1.36
100/07-20-010-100W1/00,2025/6/20,28.25,10.12,1.41
100/07-20-010-100W1/00,2025/6/21,28.58,3.59,1.43
100/07-20-010-100W1/00,2025/6/22,28.46,20.68,1.42
100/07-20-010-100W1/00,2025/6/23,27.93,4.89,1.4
100/07-20-010-100W1/00,2025/6/24,27.9,7.53,1.4
100/07-20-010-100W1/00,2025/6/25,27.45,3.13,1.37
100/07-20-010-100W1/00,2025/6/26,26.96,8.88,1.35
100/07-20-010-100W1/00,2025/6/27,28.82,14.86,1.44
100/07-20-010-100W1/00,2025/6/28,28.51,12.8,1.43
100/07-20-010-100W1/00,2025/6/29,27.78,14.19,1.39
100/07-20-010-100W1/00,2025/6/30,27.46,5.2,1.37
100/07-20-010-100W1/00,2025/7/1,27.25,15.04,1.36
100/07-20-010-100W1/00,2025/7/2,27.2,21.51,1.36
100/07-20-010-100W1/00,2025/7/3,26.85,4.6,1.34
100/07-20-010-100W1/00,2025/7/4,26.85,5.7,1.34
100/07-20-010-100W1/00,2025/7/5,26.93,5.96,1.35
100/07-20-010-100W1/00,2025/7/6,26.34,12.3,1.32
100/07-20-010-100W1/00,2025/7/7,28.79,5.14,1.44
100/07-20-010-100W1/00,2025/7/8,28.73,20.28,1.44
100/07-20-010-100W1/00,2025/7/9,26.75,5.87,1.34
100/07-20-010-100W1/00,2025/7/10,28.56,13.99,1.43
100/07-20-010-100W1/00,2025/7/11,26.76,17.09,1.34
100/07-20-010-100W1/00,2025/7/12,26.85,10.68,1.34
100/07-20-010-100W1/00,2025/7/13,26.6,4.8,1.33
100/07-20-010-100W1/00,2025/7/14,26.71,13.54,1.34
100/07-20-010-100W1/00,2025/7/15,27.2,12.86,1.36
100/07-20-010-100W1/00,2025/7/16,26.78,5.2,1.34
100/07-20-010-100W1/00,2025/7/17,28.54,9.29,1.43
100/07-20-010-100W1/00,2025/7/18,26.51,15.3,1.33
100/07-20-010-100W1/00,2025/7/19,27.41,11.79,1.37
100/07-20-010-100W1/00,2025/7/20,26.71,20.05,1.34
100/07-20-010-100W1/00,2025/7/21,28.36,5.3,1.42
100/07-20-010-100W1/00,2025/7/22,28.26,6.41,1.41
100/07-20-010-100W1/00,2025/7/23,27.7,13.91,1.38
100/07-20-010-100W1/00,2025/7/24,26.05,17.1,1.3
100/07-20-010-100W1/00,2025/7/25,26.09,5.61,1.3
100/07-20-010-100W1/00,2025/7/26,27.41,12.78,1.37
100/07-20-010-100W1/00,2025/7/27,27.96,10.48,1.4
100/07-20-010-100W1/00,2025/7/28,26.75,9.73,1.34
100/07-20-010-100W1/00,2025/7/29,26.36,16.43,1.32
100/07-20-010-100W1/00,2025/7/30,26.14,19.08,1.31
100/07-20-010-100W1/00,2025/7/31,26.95,19.8,1.35
100/07-20-010-100W1/00,2025/8/1,25.78,19.54,1.29
100/07-20-010-100W1/00,2025/8/2,26.34,5.2,1.32
100/07-20-010-100W1/00,2025/8/3,27.08,12.82,1.35
100/07-20-010-100W1/00,2025/8/4,27.51,5.67,1.38
100/07-20-010-100W1/00,2025/8/5,26.04,16.16,1.3
100/07-20-010-100W1/00,2025/8/6,26.87,17.03,1.34
100/07-20-010-100W1/00,2025/8/7,26.24,17.71,1.31
100/07-20-010-100W1/00,2025/8/8,27.55,5.21,1.38
100/07-20-010-100W1/00,2025/8/9,27.4,5.61,1.37
100/07-20-010-100W1/00,2025/8/10,27.17,16.41,1.36
100/07-20-010-100W1/00,2025/8/11,27.07,12.99,1.35
100/07-20-010-100W1/00,2025/8/12,26.12,5.93,1.31
100/07-20-010-100W1/00,2025/8/13,26.72,10.17,1.34
100/07-20-010-100W1/00,2025/8/14,27.66,5.74,1.38
100/07-20-010-100W1/00,2025/8/15,26.47,13.98,1.32
100/07-20-010-100W1/00,2025/8/16,0,0,0
100/07-20-010-100W1/00,2025/8/17,26.92,20.08,1.35
100/07-20-010-100W1/00,2025/8/18,25.46,12.82,1.27
100/07-20-010-100W1/00,2025/8/19,26.15,16.1,1.31
100/07-20-010-100W1/00,2025/8/20,27.45,11.41,1.37
100/07-20-010-100W1/00,2025/8/21,27.57,18.95,1.38
100/07-20-010-100W1/00,2025/8/22,27.38,19.41,1.37
100/07-20-010-100W1/00,2025/8/23,26.49,10.05,1.32
100/07-20-010-100W1/00,2025/8/24,25.79,17.07,1.29
100/07-20-010-100W1/00,2025/8/25,0,0,0
100/07-20-010-100W1/00,2025/8/26,27.27,9.34,1.36
100/07-20-010-100W1/00,2025/8/27,26.77,11.15,1.34
100/07-20-010-100W1/00,2025/8/28,26,5.16,1.3
100/07-20-010-100W1/00,2025/8/29,26.09,10.26,1.3
100/07-20-010-100W1/00,2025/8/30,25.71,13.02,1.29
100/07-20-010-100W1/00,2025/8/31,24.78,13.99,1.24
100/07-20-010-100W1/00,2025/9/1,27.22,5.55,1.36
100/07-20-010-100W1/00,2025/9/2,24.92,19.88,1.25
100/07-20-010-100W1/00,2025/9/3,26.22,3.85,1.31
100/07-20-010-100W1/00,2025/9/4,25.19,18.36,1.26
100/07-20-010-100W1/00,2025/9/5,25.12,3.15,1.26
100/07-20-010-100W1/00,2025/9/6,26.06,3.81,1.3
100/07-20-010-100W1/00,2025/9/7,25.75,12.03,1.29
100/07-20-010-100W1/00,2025/9/8,25.59,12.58,1.28
100/07-20-010-100W1/00,2025/9/9,25,17.58,1.25
100/07-20-010-100W1/00,2025/9/10,25.47,7.37,1.27
100/07-20-010-100W1/00,2025/9/11,25.54,3.01,1.28
100/07-20-010-100W1/00,2025/9/12,26.3,14.76,1.32
100/07-20-010-100W1/00,2025/9/13,0,0,0
100/07-20-010-100W1/00,2025/9/14,24.46,4.23,1.22
100/07-20-010-100W1/00,2025/9/15,24.85,13.84,1.24
100/07-20-010-100W1/00,2025/9/16,24.62,6.65,1.23
100/07-20-010-100W1/00,2025/9/17,26.53,18.07,1.33
100/07-20-010-100W1/00,2025/9/18,26.03,6.34,1.3
100/07-20-010-100W1/00,2025/9/19,26.59,2.9,1.33
100/07-20-010-100W1/00,2025/9/20,24.8,2.94,1.24
100/07-20-010-100W1/00,2025/9/21,25.74,10.17,1.29
100/07-20-010-100W1/00,2025/9/22,26.31,8.93,1.32
100/07-20-010-100W1/00,2025/9/23,25.17,12.92,1.26
100/07-20-010-100W1/00,2025/9/24,25.77,9.96,1.29
100/07-20-010-100W1/00,2025/9/25,25.26,7.73,1.26
100/07-20-010-100W1/00,2025/9/26,26.07,5.16,1.3
100/07-20-010-100W1/00,2025/9/27,25.35,18.41,1.27
100/07-20-010-100W1/00,2025/9/28,25.16,2.91,1.26
100/07-20-010-100W1/00,2025/9/29,25.43,13.82,1.27
100/07-20-010-100W1/00,2025/9/30,24.39,16.69,1.22
100/07-20-010-100W1/00,2025/10/1,25.34,5.58,1.27
100/07-20-010-100W1/00,2025/10/2,24.04,17.79,1.2
100/07-20-010-100W1/00,2025/10/3,25.42,7.42,1.27
100/07-20-010-100W1/00,2025/10/4,25.59,17.42,1.28
100/07-20-010-100W1/00,2025/10/5,23.95,4.69,1.2
100/07-20-010-100W1/00,2025/10/6,26.1,13.52,1.3
100/07-20-010-100W1/00,2025/10/7,25.55,5.69,1.28
100/07-20-010-100W1/00,2025/10/8,24.91,9.17,1.25
100/07-20-010-100W1/00,2025/10/9,23.95,5.18,1.2
100/07-20-010-100W1/00,2025/10/10,24.02,12.54,1.2
100/07-20-010-100W1/00,2025/10/11,24.76,7.48,1.24
100/07-20-010-100W1/00,2025/10/12,25.56,7.87,1.28
100/07-20-010-100W1/00,2025/10/13,24.93,14.07,1.25
100/07-20-010-100W1/00,2025/10/14,25.55,6.4,1.28
100/07-20-010-100W1/00,2025/10/15,24.35,12.58,1.22
100/07-20-010-100W1/00,2025/10/16,24.91,12.9,1.25
100/07-20-010-100W1/00,2025/10/17,25.57,4.46,1.28
100/07-20-010-100W1/00,2025/10/18,25.44,11.37,1.27
100/07-20-010-100W1/00,2025/10/19,24.68,6.73,1.23
100/07-20-010-100W1/00,2025/10/20,25.56,14.99,1.28
100/07-20-010-100W1/00,2025/10/21,25.02,8.82,1.25
100/07-20-010-100W1/00,2025/10/22,25.81,5.05,1.29
100/07-20-010-100W1/00,2025/10/23,24.62,5.65,1.23
100/07-20-010-100W1/00,2025/10/24,25.65,15.71,1.28
100/07-20-010-100W1/00,2025/10/25,25.09,14.67,1.25
100/07-20-010-100W1/00,2025/10/26,24.06,10.65,1.2
100/07-20-010-100W1/00,2025/10/27,25.86,19.67,1.29
100/07-20-010-100W1/00,2025/10/28,25.14,18.79,1.26
100/07-20-010-100W1/00,2025/10/29,24.77,18.35,1.24
100/07-20-010-100W1/00,2025/10/30,25.07,7.72,1.25
100/07-20-010-100W1/00,2025/10/31,25.72,19.57,1.29
100/07-20-010-100W1/00,2025/11/1,25.42,17.57,1.27
100/07-20-010-100W1/00,2025/11/2,25.32,3.19,1.27
100/07-20-010-100W1/00,2025/11/3,23.83,4.39,1.19
100/07-20-010-100W1/00,2025/11/4,24.94,8.43,1.25
100/07-20-010-100W1/00,2025/11/5,23.38,7.5,1.17
100/07-20-010-100W1/00,2025/11/6,25.13,8.12,1.26
100/07-20-010-100W1/00,2025/11/7,25.33,13.46,1.27
100/07-20-010-100W1/00,2025/11/8,23.21,16.46,1.16
100/07-20-010-100W1/00,2025/11/9,0,0,0
100/07-20-010-100W1/00,2025/11/10,25.05,20,1.25
100/07-20-010-100W1/00,2025/11/11,24.95,9.51,1.25
100/07-20-010-100W1/00,2025/11/12,24.59,17.49,1.23
100/07-20-010-100W1/00,2025/11/13,24.9,9.77,1.25
100/07-20-010-100W1/00,2025/11/14,24.8,6.63,1.24
100/07-20-010-100W1/00,2025/11/15,23.85,7.18,1.19
100/07-20-010-100W1/00,2025/11/16,23.54,3.05,1.18
100/07-20-010-100W1/00,2025/11/17,0,0,0
100/07-20-010-100W1/00,2025/11/18,24.57,6.21,1.23
100/07-20-010-100W1/00,2025/11/19,24.8,4.03,1.24
100/07-20-010-100W1/00,2025/11/20,25,19.03,1.25
100/07-20-010-100W1/00,2025/11/21,24.34,5.28,1.22
100/07-20-010-100W1/00,2025/11/22,23.4,17.78,1.17
100/07-20-010-100W1/00,2025/11/23,24.28,11.14,1.21
100/07-20-010-100W1/00,2025/11/24,23.22,5.91,1.16
100/07-20-010-100W1/00,2025/11/25,24.64,8.5,1.23
100/07-20-010-100W1/00,2025/11/26,25.07,18.02,1.25
100/07-20-010-100W1/00,2025/11/27,25.11,5.57,1.26
100/07-20-010-100W1/00,2025/11/28,24.52,14.4,1.23
100/07-20-010-100W1/00,2025/11/29,24.63,6.33,1.23
100/07-20-010-100W1/00,2025/11/30,23.95,12.33,1.2
100/07-20-010-100W1/00,2025/12/1,22.86,16.33,1.14
100/07-20-010-100W1/00,2025/12/2,22.93,16.56,1.15
100/07-20-010-100W1/00,2025/12/3,24.65,16.43,1.23
100/07-20-010-100W1/00,2025/12/4,23.89,3.84,1.19
100/07-20-010-100W1/00,2025/12/5,23.44,6.61,1.17
100/07-20-010-100W1/00,2025/12/6,23.71,3.72,1.19
100/07-20-010-100W1/00,2025/12/7,24.13,3.7,1.21
100/07-20-010-100W1/00,2025/12/8,23.66,10.33,1.18
100/07-20-010-100W1/00,2025/12/9,24.42,8.39,1.22
100/07-20-010-100W1/00,2025/12/10,23.78,6.82,1.19
100/07-20-010-100W1/00,2025/12/11,24.31,13.63,1.22
100/07-20-010-100W1/00,2025/12/12,24.45,14.57,1.22
100/07-20-010-100W1/00,2025/12/13,24.03,13.84,1.2
100/07-20-010-100W1/00,2025/12/14,24.13,5.09,1.21
100/07-20-010-100W1/00,2025/12/15,24.39,2.94,1.22
100/07-20-010-100W1/00,2025/12/16,22.62,7.57,1.13
100/07-20-010-100W1/00,2025/12/17,22.67,15.25,1.13
100/07-20-010-100W1/00,2025/12/18,23.46,2.45,1.17
100/07-20-010-100W1/00,2025/12/19,23.7,18.65,1.18
100/07-20-010-100W1/00,2025/12/20,22.84,12.42,1.14
100/07-20-010-100W1/00,2025/12/21,24.03,4.2,1.2
100/07-20-010-100W1/00,2025/12/22,23.45,18.15,1.17
100/07-20-010-100W1/00,2025/12/23,23.64,17.79,1.18
100/07-20-010-100W1/00,2025/12/24,24.33,14.15,1.22
100/07-20-010-100W1/00,2025/12/25,22.83,13.6,1.14
100/07-20-010-100W1/00,2025/12/26,23.46,8.03,1.17
100/07-20-010-100W1/00,2025/12/27,22.19,15.76,1.11
100/07-20-010-100W1/00,2025/12/28,24.31,15.19,1.22
100/07-20-010-100W1/00,2025/12/29,23.8,2.79,1.19
100/07-20-010-100W1/00,2025/12/30,0,0,0
100/07-20-010-100W1/00,2025/12/31,23.58,9.72,1.18
100/07-20-010-100W1/00,2026/1/1,24.28,9.67,1.21
100/13-15-010-101W1/00,2025/1/1,57.2,14.56,2.86
100/13-15-010-101W1/00,2025/1/2,57.09,31.87,2.85
100/13-15-010-101W1/00,2025/1/3,58.57,12.05,2.93
100/13-15-010-101W1/00,2025/1/4,58.5,23.04,2.92
100/13-15-010-101W1/00,2025/1/5,55.41,16.18,2.77
100/13-15-010-101W1/00,2025/1/6,55.44,40.24,2.77
100/13-15-010-101W1/00,2025/1/7,54.31,6.61,2.72
100/13-15-010-101W1/00,2025/1/8,55.15,38.88,2.76
100/13-15-010-101W1/00,2025/1/9,58.47,13.44,2.92
100/13-15-010-101W1/00,2025/1/10,57.36,36.69,2.87
100/13-15-010-101W1/00,2025/1/11,57.24,30.82,2.86
100/13-15-010-101W1/00,2025/1/12,53.15,39.57,2.66
100/13-15-010-101W1/00,2025/1/13,57.37,25.08,2.87
100/13-15-010-101W1/00,2025/1/14,53.6,31.08,2.68
100/13-15-010-101W1/00,2025/1/15,53.99,23.98,2.7
100/13-15-010-101W1/00,2025/1/16,56.08,16.17,2.8
100/13-15-010-101W1/00,2025/1/17,54.54,22.83,2.73
100/13-15-010-101W1/00,2025/1/18,0,0,0
100/13-15-010-101W1/00,2025/1/19,56.08,17.06,2.8
100/13-15-010-101W1/00,2025/1/20,57.49,37.13,2.87
100/13-15-010-101W1/00,2025/1/21,55.35,9.6,2.77
100/13-15-010-101W1/00,2025/1/22,58.13,11.61,2.91
100/13-15-010-101W1/00,2025/1/23,56.05,33.17,2.8
100/13-15-010-101W1/00,2025/1/24,52.65,17.3,2.63
100/13-15-010-101W1/00,2025/1/25,53.05,18.33,2.65
100/13-15-010-101W1/00,2025/1/26,52.97,20.01,2.65
100/13-15-010-101W1/00,2025/1/27,55.64,32.42,2.78
100/13-15-010-101W1/00,2025/1/28,53.58,11.64,2.68
100/13-15-010-101W1/00,2025/1/29,55.96,33.27,2.8
100/13-15-010-101W1/00,2025/1/30,57.58,7.85,2.88
100/13-15-010-101W1/00,2025/1/31,56.29,39.95,2.81
100/13-15-010-101W1/00,2025/2/1,56.77,19.17,2.84
100/13-15-010-101W1/00,2025/2/2,52.76,38.33,2.64
100/13-15-010-101W1/00,2025/2/3,56.79,23.66,2.84
100/13-15-010-101W1/00,2025/2/4,55.16,33.76,2.76
100/13-15-010-101W1/00,2025/2/5,52.56,14.35,2.63
100/13-15-010-101W1/00,2025/2/6,56.99,14.44,2.85
100/13-15-010-101W1/00,2025/2/7,54.02,12.29,2.7
100/13-15-010-101W1/00,2025/2/8,55.76,25.02,2.79
100/13-15-010-101W1/00,2025/2/9,56.05,14.57,2.8
100/13-15-010-101W1/00,2025/2/10,57.42,31.88,2.87
100/13-15-010-101W1/00,2025/2/11,55.78,8.4,2.79
100/13-15-010-101W1/00,2025/2/12,53.43,22.65,2.67
100/13-15-010-101W1/00,2025/2/13,55.97,34.69,2.8
100/13-15-010-101W1/00,2025/2/14,53.85,19.37,2.69
100/13-15-010-101W1/00,2025/2/15,52.15,36.86,2.61
100/13-15-010-101W1/00,2025/2/16,54.29,32.99,2.71
100/13-15-010-101W1/00,2025/2/17,56.64,41.37,2.83
100/13-15-010-101W1/00,2025/2/18,53.35,27.46,2.67
100/13-15-010-101W1/00,2025/2/19,52.96,28.39,2.65
100/13-15-010-101W1/00,2025/2/20,55.77,10.71,2.79
100/13-15-010-101W1/00,2025/2/21,56.7,12.8,2.83
100/13-15-010-101W1/00,2025/2/22,57.01,12.92,2.85
100/13-15-010-101W1/00,2025/2/23,54.37,14.85,2.72
100/13-15-010-101W1/00,2025/2/24,54.08,24.9,2.7
100/13-15-010-101W1/00,2025/2/25,54.85,11.76,2.74
100/13-15-010-101W1/00,2025/2/26,56.86,15.96,2.84
100/13-15-010-101W1/00,2025/2/27,53.33,34.21,2.67
100/13-15-010-101W1/00,2025/2/28,56.8,23.72,2.84
